version,gender,month_age,mean_weight,standard_deviation_weight,mean_height,standard_deviation_height,mean_bmi,standard_deviation_bmi,mean_bal,standard_deviation_bal,mean_shh,standard_deviation_shh,mean_sws,standard_deviation_sws,mean_20m,standard_deviation_20m,mean_su,standard_deviation_su,mean_ls,standard_deviation_ls,mean_rb,standard_deviation_rb,mean_lauf,standard_deviation_lauf,mean_ball,standard_deviation_ball
for_china_by_chinese_at_201509,FEMALE,86 ,25.3872 ,3.9306 ,125.9749 ,5.0349 ,15.9494 ,1.6159 ,26.5770 ,9.1819 ,19.0137 ,4.7790 ,113.3047 ,18.1141 ,4.8010 ,0.4786 ,16.4873 ,6.7852 ,9.5120 ,3.3621 ,1.7600 ,6.2824 ,834.4816 ,117.0000 ,8.4352 ,2.3661 
for_china_by_chinese_at_201509,FEMALE,87 ,25.6646 ,4.0714 ,126.5483 ,5.0608 ,16.0341 ,1.8983 ,26.8420 ,9.1896 ,19.2499 ,4.8398 ,113.9757 ,18.0976 ,4.7898 ,0.4804 ,16.6531 ,6.7866 ,9.5885 ,3.3621 ,1.7883 ,6.2877 ,837.6902 ,117.1911 ,8.5641 ,2.3757 
for_china_by_chinese_at_201509,FEMALE,88 ,25.9853 ,4.1987 ,127.1416 ,5.1049 ,16.0672 ,1.8293 ,27.0677 ,9.0876 ,19.5214 ,4.8804 ,114.6403 ,18.3241 ,4.7688 ,0.4795 ,16.8038 ,6.7807 ,9.6383 ,3.3576 ,1.7765 ,6.3469 ,840.9801 ,117.5625 ,8.6763 ,2.3785 
for_china_by_chinese_at_201509,FEMALE,89 ,26.4638 ,4.4316 ,127.7188 ,5.1076 ,16.2051 ,1.9650 ,27.3429 ,9.1005 ,19.7748 ,4.9644 ,115.2832 ,18.5211 ,4.7592 ,0.4777 ,16.9739 ,6.7641 ,9.6674 ,3.3427 ,1.7966 ,6.3847 ,843.7023 ,117.8319 ,8.7987 ,2.3830 
for_china_by_chinese_at_201509,FEMALE,90 ,26.5298 ,4.1275 ,128.2920 ,5.1127 ,16.1418 ,1.8133 ,27.5900 ,9.1190 ,20.0500 ,5.0180 ,116.0100 ,18.6673 ,4.7511 ,0.4699 ,17.0815 ,6.7366 ,9.7440 ,3.3495 ,1.8876 ,6.2817 ,846.9529 ,117.8525 ,8.9244 ,2.3646 
for_china_by_chinese_at_201509,FEMALE,91 ,26.9771 ,4.6058 ,128.8881 ,5.1520 ,16.2553 ,1.9914 ,27.8300 ,9.1090 ,20.3300 ,5.0640 ,116.7047 ,18.6358 ,4.7393 ,0.4700 ,17.2630 ,6.7118 ,9.7874 ,3.3934 ,1.8235 ,6.4114 ,849.9895 ,118.9499 ,9.0368 ,2.3699 
for_china_by_chinese_at_201509,FEMALE,92 ,27.2892 ,4.6630 ,129.4775 ,5.1562 ,16.2673 ,1.9764 ,28.0500 ,9.1250 ,20.5500 ,5.1350 ,117.2900 ,18.6589 ,4.7207 ,0.4687 ,17.3785 ,6.6413 ,9.8376 ,3.3456 ,1.8412 ,6.4286 ,853.9831 ,120.2801 ,9.1532 ,2.3692 
for_china_by_chinese_at_201509,FEMALE,93 ,27.6660 ,4.6512 ,130.0832 ,5.2107 ,16.3114 ,1.9711 ,28.2900 ,9.1230 ,20.8300 ,5.2040 ,118.1025 ,18.8506 ,4.7109 ,0.4708 ,17.5188 ,6.6507 ,9.8952 ,3.3676 ,1.8334 ,6.4420 ,856.8636 ,119.8414 ,9.2739 ,2.3846 
for_china_by_chinese_at_201509,FEMALE,94 ,27.9835 ,4.9601 ,130.6298 ,5.2258 ,16.3763 ,2.1708 ,28.5200 ,9.1590 ,21.0800 ,5.2620 ,118.7514 ,18.9020 ,4.7006 ,0.4690 ,17.6964 ,6.6362 ,9.9477 ,3.3639 ,1.8044 ,6.4631 ,860.2752 ,120.0775 ,9.3896 ,2.3727 
for_china_by_chinese_at_201509,FEMALE,95 ,28.4304 ,5.0848 ,131.2484 ,5.2776 ,16.4795 ,2.1739 ,28.7500 ,9.0910 ,21.3300 ,5.3590 ,119.4753 ,19.1847 ,4.6803 ,0.4706 ,17.8489 ,6.6194 ,9.9712 ,3.4066 ,1.8078 ,6.4768 ,863.3987 ,121.4054 ,9.5101 ,2.3706 
for_china_by_chinese_at_201509,FEMALE,96 ,28.6201 ,4.9604 ,131.8236 ,5.2621 ,16.4837 ,2.1265 ,28.9300 ,9.1140 ,21.6100 ,5.4080 ,119.9965 ,19.3649 ,4.6702 ,0.4691 ,18.0015 ,6.6648 ,10.0371 ,3.3733 ,1.8243 ,6.5014 ,866.1986 ,120.4927 ,9.6339 ,2.3652 
for_china_by_chinese_at_201509,FEMALE,97 ,28.9436 ,5.0235 ,132.3936 ,5.2946 ,16.5405 ,2.0883 ,29.1700 ,9.1450 ,21.8600 ,5.4480 ,120.8285 ,19.4344 ,4.6598 ,0.4691 ,18.1467 ,6.6090 ,10.0758 ,3.3312 ,1.8266 ,6.5533 ,869.6221 ,122.1834 ,9.7510 ,2.3561 
for_china_by_chinese_at_201509,FEMALE,98 ,29.2612 ,4.9718 ,132.9684 ,5.3311 ,16.5673 ,2.0832 ,29.3600 ,9.1029 ,22.1100 ,5.5700 ,121.5019 ,19.2911 ,4.6398 ,0.4588 ,18.3259 ,6.5953 ,10.1540 ,3.3656 ,1.8248 ,6.4895 ,872.5313 ,122.4664 ,9.8723 ,2.3805 
