version,gender,month_age,mean_weight,standard_deviation_weight,mean_height,standard_deviation_height,mean_bmi,standard_deviation_bmi,mean_bal,standard_deviation_bal,mean_shh,standard_deviation_shh,mean_sws,standard_deviation_sws,mean_20m,standard_deviation_20m,mean_su,standard_deviation_su,mean_ls,standard_deviation_ls,mean_rb,standard_deviation_rb,mean_lauf,standard_deviation_lauf,mean_ball,standard_deviation_ball
china_201604,MALE,86,26.0907,4.2882,127.1521,5.1414,16.0547,1.7543,23.3828,9.201,17.7833,4.7942,120.1656,19.2675,4.6106,0.484,18.7271,6.794,9.8471,3.4426,-2.0497,6.234,910.0689,117.5241,12.4696,3.8138
china_201604,MALE,87,26.5331,4.3083,127.815,5.1295,16.0988,1.8334,23.701,9.1011,18.0222,4.8889,120.9679,19.2986,4.5999,0.4793,18.8542,6.7607,9.889,3.4349,-2.0654,6.3201,913.9124,117.9124,12.6727,3.8862
china_201604,MALE,88,26.8011,4.3906,128.4253,5.1106,16.1773,1.9295,24.0697,9.1165,18.2823,4.9624,121.6114,19.5239,4.5903,0.4806,19.022,6.7881,9.9251,3.4658,-2.0757,6.3569,917.6984,117.6638,12.978,3.8587
china_201604,MALE,89,27.2466,4.4232,129.0225,5.1421,16.2413,1.941,24.3629,9.1377,18.5326,5.0545,122.5171,19.6259,4.5804,0.4802,19.1743,6.7148,9.9931,3.4128,-2.0612,6.3491,921.3962,118.1634,12.9547,3.8702
china_201604,MALE,90,27.2452,4.4887,129.6119,5.1914,16.2805,2.0502,24.75,9.08,18.77,5.087,123.0633,19.7406,4.5696,0.4689,19.3427,6.692,10.016,3.4023,-2.0558,6.3684,925.1664,119.3513,13.1016,3.8722
china_201604,MALE,91,27.6649,4.7908,130.1979,5.1891,16.3088,2.0658,25.06,9.1,19.04,5.128,123.9825,19.7627,4.5603,0.4683,19.512,6.6937,10.0744,3.4543,-2.0461,6.3884,928.8919,118.7285,13.2615,3.8868
china_201604,MALE,92,27.931,4.7649,130.8025,5.2288,16.3659,2.0357,25.39,9.126,19.31,5.19,124.6349,19.9189,4.5499,0.47,19.6732,6.7118,10.1104,3.4367,-2.072,6.4299,932.7067,119.6924,13.3965,3.8532
china_201604,MALE,93,28.3527,4.8341,131.3905,5.2546,16.3899,2.0693,25.73,9.069,19.56,5.28,125.4477,20.0368,4.5409,0.4696,19.8327,6.6606,10.1455,3.4314,-2.0797,6.4541,936.3103,120.0368,13.5573,3.8816
china_201604,MALE,94,28.8923,4.8943,131.924,5.2373,16.5139,2.0703,26.05,9.098,19.81,5.324,126.1559,20.2846,4.5306,0.47,19.9518,6.7001,10.2093,3.4577,-2.0318,6.4776,939.3044,119.5007,13.701,3.8674
china_201604,MALE,95,28.9243,4.7847,132.5157,5.3177,16.5089,1.9956,26.4002,9.1384,20.05,5.412,127.0079,20.3075,4.5204,0.4699,20.1266,6.6198,10.241,3.4443,-2.0111,6.4547,943.5248,121.1939,13.863,3.883
china_201604,MALE,96,29.3624,4.894,133.0719,5.2795,16.528,1.9908,26.87,9.144,20.32,5.466,127.657,20.3388,4.5102,0.47,20.3108,6.6805,10.2964,3.4675,-2.0196,6.4952,947.002,121.2315,13.9905,3.854
china_201604,MALE,97,29.6549,5.1041,133.6568,5.32,16.5929,2.0853,27.02,9.0737,20.55,5.538,128.4142,20.6009,4.4995,0.4691,20.4892,6.6372,10.3196,3.4395,-2.0273,6.5155,950.9021,121.5348,14.1456,3.8782
china_201604,MALE,98,29.992,5.2084,134.2945,5.3507,16.6793,2.3955,27.17,9.1887,20.82,5.604,129.2423,20.7368,4.4903,0.4579,20.6126,6.5866,10.4064,3.4032,-2.0427,6.5489,954.2616,121.6952,14.2965,3.8453
