version,gender,month_age,mean_bal,standard_deviation_bal,mean_shh,standard_deviation_shh,mean_sws,standard_deviation_sws,mean_20m,standard_deviation_20m,mean_su,standard_deviation_su,mean_ls,standard_deviation_ls,mean_rb,standard_deviation_rb,mean_lauf,standard_deviation_lauf,mean_ball,standard_deviation_ball
for_china_by_chinese_at_201509,MALE,90,25.12,8.94,23.52,6.048,125.91,16.436,4.63,0.27,10.78,4.694,11.16,3.682,4.53,5.751,843.01,90.579,9.83,2.155
for_china_by_chinese_at_201509,MALE,91,25.5,8.999,23.68,5.984,126.3,16.581,4.62,0.282,10.96,4.987,11.23,3.709,4.53,5.697,844.12,91.567,9.94,2.244
for_china_by_chinese_at_201509,MALE,92,25.98,9.045,23.8,5.902,126.73,16.63,4.61,0.289,11.12,5.225,11.28,3.68,4.56,5.607,845.48,92.715,10.05,2.337
for_china_by_chinese_at_201509,MALE,93,26.35,9.063,23.98,5.751,127.16,16.68,4.61,0.299,11.29,5.516,11.39,3.684,4.58,5.55,846.95,93.949,10.16,2.415
for_china_by_chinese_at_201509,MALE,94,26.79,9.141,24.15,5.681,127.56,16.884,4.6,0.311,11.48,5.764,11.46,3.713,4.57,5.487,848.25,95.056,10.27,2.492
for_china_by_chinese_at_201509,MALE,95,27.24,9.121,24.29,5.572,127.99,16.949,4.59,0.322,11.67,6.041,11.5,3.676,4.59,5.414,849.1,94.485,10.38,2.575
for_china_by_chinese_at_201509,MALE,96,27.63,9.178,24.43,5.525,128.4,16.814,4.58,0.329,11.88,6.332,11.59,3.716,4.62,5.345,851.16,97.909,10.49,2.669
for_china_by_chinese_at_201509,MALE,97,28.04,9.175,24.59,5.376,128.84,16.948,4.58,0.34,12.02,6.56,11.64,3.68,4.62,5.277,851.92,98.689,10.6,2.734
for_china_by_chinese_at_201509,MALE,98,28.48,9.211,24.75,5.325,129.2,17.033,4.57,0.35,12.21,6.866,11.75,3.731,4.63,5.165,853.45,100.427,10.71,2.828
for_china_by_chinese_at_201509,MALE,99,28.9,9.248,24.9,5.205,129.59,17.138,4.56,0.361,12.41,7.152,11.83,3.702,4.65,5.116,854.56,101.614,10.82,2.918
for_china_by_chinese_at_201509,MALE,100,29.33,9.29,25.03,5.136,130.06,17.021,4.55,0.369,12.58,7.35,11.91,3.701,4.67,5.007,855.92,102.7,10.94,2.991
for_china_by_chinese_at_201509,MALE,101,29.78,9.251,25.19,5.011,130.46,17.125,4.55,0.38,12.76,7.702,11.97,3.724,4.66,4.957,857.4,103.264,11.04,3.048
for_china_by_chinese_at_201509,MALE,102,30.17,9.435,25.38,4.933,130.89,17.341,4.54,0.387,12.94,7.855,12.03,3.726,4.7,4.829,858.96,104.831,11.17,3.151
