version,gender,month_age,mean_bal,standard_deviation_bal,mean_shh,standard_deviation_shh,mean_sws,standard_deviation_sws,mean_20m,standard_deviation_20m,mean_su,standard_deviation_su,mean_ls,standard_deviation_ls,mean_rb,standard_deviation_rb,mean_lauf,standard_deviation_lauf,mean_ball,standard_deviation_ball
for_germany_by_chinese_at_201509,FEMALE,90,27.59,9.119,20.05,5.018,116.01,18.6673,4.75,0.4699,17.08,6.7366,9.74,3.3495,1.89,6.2817,846.95,117.8525,8.92,2.3646
for_germany_by_chinese_at_201509,FEMALE,91,27.83,9.109,20.33,5.064,116.7,18.6358,4.74,0.47,17.26,6.7118,9.79,3.3934,1.82,6.4114,849.99,118.9499,9.04,2.3699
for_germany_by_chinese_at_201509,FEMALE,92,28.05,9.125,20.55,5.135,117.29,18.6589,4.72,0.4687,17.38,6.6413,9.84,3.3456,1.84,6.4286,853.98,120.2801,9.15,2.3692
for_germany_by_chinese_at_201509,FEMALE,93,28.29,9.123,20.83,5.204,118.1,18.8506,4.71,0.4708,17.52,6.6507,9.9,3.3676,1.83,6.442,856.86,119.8414,9.27,2.3846
for_germany_by_chinese_at_201509,FEMALE,94,28.52,9.159,21.08,5.262,118.75,18.902,4.7,0.469,17.7,6.6362,9.95,3.3639,1.8,6.4631,860.28,120.0775,9.39,2.3727
for_germany_by_chinese_at_201509,FEMALE,95,28.75,9.091,21.33,5.359,119.48,19.1847,4.68,0.4706,17.85,6.6194,9.97,3.4066,1.81,6.4768,863.4,121.4054,9.51,2.3706
for_germany_by_chinese_at_201509,FEMALE,96,28.93,9.114,21.61,5.408,120,19.3649,4.67,0.4691,18,6.6648,10.04,3.3733,1.82,6.5014,866.2,120.4927,9.63,2.3652
for_germany_by_chinese_at_201509,FEMALE,97,29.17,9.145,21.86,5.448,120.83,19.4344,4.66,0.4691,18.15,6.609,10.08,3.3312,1.83,6.5533,869.62,122.1834,9.75,2.3561
for_germany_by_chinese_at_201509,FEMALE,98,29.36,9.103,22.11,5.57,121.5,19.2911,4.64,0.4588,18.33,6.5953,10.15,3.3656,1.82,6.4895,872.53,122.4664,9.87,2.3805
for_germany_by_chinese_at_201509,FEMALE,99,29.55,9.165,22.36,5.61,122.03,19.6722,4.63,0.4602,18.46,6.5662,10.19,3.3703,1.83,6.5588,875.77,122.8983,9.98,2.3683
for_germany_by_chinese_at_201509,FEMALE,100,29.76,9.073,22.64,5.648,122.91,19.6993,4.62,0.461,18.63,6.6228,10.25,3.3607,1.8,6.6332,878.81,122.0504,10.1,2.3879
for_germany_by_chinese_at_201509,FEMALE,101,29.95,9.061,22.89,5.702,123.52,19.6768,4.61,0.46,18.76,6.5632,10.31,3.3548,1.84,6.6398,882.43,123.8691,10.21,2.3669
