gender,movement_type,month_age,mean,standard_deviation
FEMALE,bal,90,31.85,7.269
FEMALE,bal,91,32.13,7.304
FEMALE,bal,92,32.41,7.299
FEMALE,bal,93,32.70,7.389
FEMALE,bal,94,32.99,7.400
FEMALE,bal,95,33.27,7.446
FEMALE,bal,96,33.54,7.504
FEMALE,bal,97,33.85,7.578
FEMALE,bal,98,34.11,7.553
FEMALE,bal,99,34.41,7.670
FEMALE,bal,100,34.73,7.652
FEMALE,bal,101,35.00,7.739
FEMALE,shh,90,23.48,4.462
FEMALE,shh,91,23.77,4.592
FEMALE,shh,92,24.07,4.724
FEMALE,shh,93,24.37,4.907
FEMALE,shh,94,24.61,5.011
FEMALE,shh,95,24.88,5.156
FEMALE,shh,96,25.20,5.317
FEMALE,shh,97,25.48,5.487
FEMALE,shh,98,25.75,5.581
FEMALE,shh,99,26.03,5.746
FEMALE,shh,100,26.30,5.895
FEMALE,shh,101,26.61,6.053
FEMALE,sws,90,121.14,15.048
FEMALE,sws,91,121.62,15.005
FEMALE,sws,92,122.08,15.047
FEMALE,sws,93,122.45,14.920
FEMALE,sws,94,122.88,14.940
FEMALE,sws,95,123.31,15.000
FEMALE,sws,96,123.73,15.073
FEMALE,sws,97,124.22,15.119
FEMALE,sws,98,124.61,15.074
FEMALE,sws,99,125.01,14.982
FEMALE,sws,100,125.48,15.036
FEMALE,sws,101,125.82,15.021
FEMALE,20m,90,4.77,0.3285
FEMALE,20m,91,4.76,0.3279
FEMALE,20m,92,4.75,0.3298
FEMALE,20m,93,4.74,0.3299
FEMALE,20m,94,4.73,0.3295
FEMALE,20m,95,4.72,0.3289
FEMALE,20m,96,4.71,0.3273
FEMALE,20m,97,4.70,0.3288
FEMALE,20m,98,4.68,0.3291
FEMALE,20m,99,4.67,0.3274
FEMALE,20m,100,4.66,0.3275
FEMALE,20m,101,4.65,0.329
FEMALE,su,90,10.60,5.463
FEMALE,su,91,10.73,5.542
FEMALE,su,92,10.83,5.654
FEMALE,su,93,10.92,5.807
FEMALE,su,94,11.01,5.942
FEMALE,su,95,11.12,6.062
FEMALE,su,96,11.22,6.173
FEMALE,su,97,11.27,6.292
FEMALE,su,98,11.41,6.443
FEMALE,su,99,11.52,6.478
FEMALE,su,100,11.64,6.661
FEMALE,su,101,11.72,6.733
FEMALE,ls,90,12.41,3.043
FEMALE,ls,91,12.54,3.083
FEMALE,ls,92,12.65,3.135
FEMALE,ls,93,12.77,3.140
FEMALE,ls,94,12.91,3.235
FEMALE,ls,95,13.04,3.198
FEMALE,ls,96,13.15,3.281
FEMALE,ls,97,13.29,3.350
FEMALE,ls,98,13.41,3.382
FEMALE,ls,99,13.52,3.377
FEMALE,ls,100,13.67,3.444
FEMALE,ls,101,13.76,3.501
FEMALE,rb,90,9.54,5.332
